stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,7,0,0,0,0,0,0
72hpf,1.13,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,6.2,0,0,0,0.28,1.41,1.13,13.81,0,0,0.56,0.56,0,0
21Day,0.74,0,0.37,0.74,0.37,0.37,0,0,0.74,0,0,0,0.37,0,23.31,0,0,0.37,0,1.11,0,11.47,0.74,0,0,1.11,0.37,0
3Month,0,0.52,1.46,0,0,0,0.21,0.1,0.83,0.1,0.21,0.52,0.62,0.31,1.56,0.1,0,0.31,0.21,0,0.1,0.1,0,0.52,0,0.1,0.42,0.21
22Month,0.14,1.09,1.23,0,0,0,0,0.27,2.19,0.27,0,0,0,0.14,0.96,0,0.14,0,0.14,0,0.14,0,0,0,0.14,0,0,0
