stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,5,0,11,1,0,0,0,0,0,0,3,0,0,0,0,2,72,15,56,0,0,0,0,29,1077,0,0,0,2,0,0,0,0,0,0,3,0,0,0
72hpf,2.25,0.28,0,0.28,0,0.85,0,0.28,0,0,0.85,0,0,0,0.85,0.85,0.56,3.1,0.85,1.13,0,0,0.28,0.28,11.27,22.55,0,0,0,0.28,0,0,0,0.28,0.56,0.28,0,0,0,0
21Day,0.74,0,0,1.48,0,0.74,0,0,0,0,0,0,0,0.37,0.37,0.74,0.37,0.74,0,1.85,0,0,0,0,4.44,3.7,0.37,0,0,0,0.74,0,21.09,0,0,0.37,0.37,0,0.37,0
3Month,1.14,4.16,3.54,43.58,0.42,0,2.39,1.04,0.31,6.55,13.52,0,61.99,21.22,1.14,27.36,5.82,12.17,17.79,17.37,3.74,0.31,4.06,15.19,3.22,0.94,3.85,1.56,0,0.94,14.87,0.42,1236.24,1.77,0.31,0,0.21,8.53,325.57,14.04
22Month,0.14,0.27,0.55,1.37,0,0,0.14,0,0,0.14,0.68,0,8.88,0.41,0,4.1,0,0.14,1.37,1.64,0.27,0.82,0.14,0,0.41,0,0.68,0.41,0.55,0.68,0.55,0,137.33,0.68,0,0,0,0,0.68,0.14
