stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0.28,0,0.28,0,0,0.28,0.28,0.28,0,9.58,0.85,0,0.28,0,0.28
21Day,0,0,0,0,0,0,0,0,0.37,3.33,0.37,0.37,0,0.74,0
22Month,0.14,0.14,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0
