stage,Cardiomyocyte,Erythrocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,1,2,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0.56,13.81,1.69,0.28,0,0,0,0
21Day,0.37,0.37,0.37,0.37,0,0.74,4.44,0.37,0.37,0.37,0,0.37,0.37
3Month,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1
22Month,0,0,0.14,0,0,0,0,0,0,0,0,0,0.27
