stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,1.13,0.85,0,0,0,0,0,0,0,0.28,0,1.69,0.56,0,0,0,0.28,0,0
21Day,0,1.11,1.11,0,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0.1,1.46,0.21,0.1,0.21,0.21,1.46,0.21,0.21,0.94,0.83,0.52,0.73,0,0.31,0.21,0.1,3.85,8.43,0.1
22Month,0,0.27,0,0,0,0.14,2.05,0,0.55,0.14,0,0.41,0,0,0,0.14,0,1.23,0,0
