stage,Endothelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Radial_glia,T_cell
3Month,0,0,0.1,1.56,0,0.1,0.1
22Month,0.14,0.27,0.27,1.23,0.14,0,0
