stage,Cardiomyocyte,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0.28,0,0,0,0
21Day,2.59,0,0,0,0.74,0,0.37,0.37,0,0
22Month,0,0.14,0.14,0.14,0,0,0,0,0.14,0.14
