stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,20.86,2.25,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.74,0.37,0,0,0,8.51,1.48,0,0.37,0.37,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0.21,2.5,0,0.73,0.73,0,5.72,0.42,0.21,1.46,0.1,1.14,0.52,0.94,0.1,0.1,0.31,0.21,0,0,0.21,0,0.62,5.82,0.1,0.1,0,0.1,1.14,1.14
22Month,0,0.41,0.41,0.82,0.27,0,1.91,0.41,22.14,1.09,0.14,1.23,0,0.14,1.23,1.64,0,0.55,0,0,0,0.27,0,0.14,0.14,0.55,0,0,0,0,0,0.14
