stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,8.74,2.25,0,0,0,0,0,0,0,0,0.28,1.41,0,1.41,0,0,6.76,3.1,0,0.28,0.28,0.28,0,0.85,0,0,0,0
21Day,1.11,3.33,9.62,0.74,0.74,0,0,0,0,0,12.58,0,0.37,2.22,0.74,2.59,1.11,0.37,3.7,0.37,0,0,0.37,1.11,0,0,0.37,0.37,0,1.85
3Month,0,1.46,4.06,0,0.1,0.1,0.21,0,1.56,0.52,0.21,0.94,0.1,0.52,0.1,0.73,0,0.1,0.1,0.1,0.1,0,0.1,0,4.78,0,0,0,2.6,1.14
22Month,0,0.41,0.68,0,0,0,0,0.14,1.37,0,0.41,0.96,0,0,0.14,0.14,0.14,0,0,0,0,0,0,0.14,3.42,0,0,0,0,0
