stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,8,1,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0.28,0,0,0,0,0,2.25,0,1.69,0.28,0.28,14.66,1.13,1.69,0,1.13,1.41,0.85,0,0
21Day,0.37,0,0.74,0,0.37,0,0,0,0,0.37,0.74,0,2.59,0,0,3.33,0.37,0,0.37,2.22,0.74,4.07,0,0.37
3Month,0,0,0.1,0,0,0,0,0.21,0,0.21,0,0.1,0,0,0,0,0,0,5.1,0,0,0,0.62,0
22Month,0,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0,0
