stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,3,0,0,5,0,115,0,0,1,0,0,0,0,0,0,0,0
72hpf,5.64,1.97,0,10.43,0.56,5.92,0.56,0,0,0,0.28,0,0.56,0,3.38,13.81,2.25,23.68,0.56,0.56,1.41,75.54,41.43,1.13,0.56,138.11,0,0,7.61,0.56,0.28,2.25,0,0
21Day,5.55,2.22,0.37,16.65,0.74,7.77,2.59,0.37,0,0,4.44,0.37,5.18,1.48,1.48,15.54,4.07,18.87,0.37,2.59,0,15.17,9.99,0.74,0,93.61,4.44,0,0.37,1.85,3.33,1.48,0,2.59
3Month,0,0,0,0.42,0,0,0,0.1,0,0,1.14,0.1,0,0.21,0,0.31,0.1,0.1,0,0,1.04,0,0,0,0,0,0.1,0.83,0,0,0,0,0.1,0
22Month,0,0,0,0.27,0,0,0,0.14,0.14,0,3.14,0,0,0.82,0,0.27,0,0.14,0,0,0.14,0,0,0,0,0,0,1.23,0,0,0,0,0,0.14
