stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0.28,0,2.54,0.28,1.13,0,0.28,0.28,4.23,1.97,0,0,0,2.25,0.28,0,0.28,0,0.28,0,0,0
21Day,0.74,0.37,0,5.18,0,0.37,0,0.37,0,0,0,0.37,0,0.74,0,0,0,1.48,2.96,0,0,0,2.59,1.85,0,0,0,1.11,0,0,0,0.37,0,0,0,0.37
3Month,0.1,0.42,0,4.58,0,0,0.21,0,0.62,3.74,0,4.68,1.77,0.1,1.14,0.62,2.18,2.81,1.35,0.42,0,0.83,0.31,0,0.1,0.1,0,0.1,0.1,1.77,0,0,0.1,0.1,0.21,3.12
22Month,0,0.82,0.82,1.64,0.14,0,0.14,0,0.41,4.92,3.01,24.05,0,0.55,2.19,0.27,0.14,3.42,2.05,0.14,0.41,0.27,0.14,0,0,0.14,0.27,0,0,0.27,0,0,0,0,0,1.09
