stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,0.56,0.56,0,0.28,0,0,10.71,5.64,0.28,0,0,0,0.85,0,0,0,0
21Day,0.37,0,0.37,1.11,0,0,0,0,0,0,0.37,3.33,0.37,2.59,0,0,1.11,0,2.59,0.74,0,0.37,0,0,0,0.74,0.37,0,0.37
3Month,0.1,0.42,4.58,0.31,0.62,0,2.18,2.08,0.1,0.42,0.1,2.29,0.31,1.14,0.1,0,0.1,0.1,0.52,0.1,0.31,0.1,0.21,1.14,0,0,0,0.31,0.62
22Month,0,0.27,0.27,0,0.14,0.41,1.5,0.41,0.14,0.14,0,0.27,0.27,0.27,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
