stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,2,0,1,3,1,33,0,0,2,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0.28,0.28,1.13,0,1.41,0.85,0,0.28,0.56,0,0,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,5.18,2.22,0.74,0,0,0,0.37,0.37,0,0,0,0.37
3Month,0.1,0,0.42,0,0,0.1,0.1,0,0.21,0.1,0.1,0.31,0.31,0,0,0,0.1,0,0,0.62,0,0.31,0
22Month,0,0.14,0.14,0.27,0.14,0.14,0.96,0.14,0.27,0,0.27,1.91,0.82,0,0,0.27,0.14,0,0,0.27,0,0,0
