stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,0.85,0,5.92,5.36,0,0,0,0,0,0
21Day,0,0.74,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0,2.96,1.11,0,0,0.74,0.37,0,0
3Month,0.1,0.94,0,0.1,0.21,0.42,0.21,1.04,0.1,0.1,0.21,0.21,0.31,0,0.1,0,0,0.21,0.52,9.57,0.1,0.1,5.51
22Month,0,0.41,0,0,0,0,0,1.5,0,0,0,0,0.14,0,0,0,0,0,0,0.27,0,0,0
