stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,6,0,1,1,0,1,2,0,31,1,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0.37,1.11,0,0,0
3Month,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.31
22Month,0,0.14,0.27,0,1.23,0,0.14,0,0,0,0,0.55
