stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0.62,0.1,0.1,5.51,0.31,0.42,0.1,0.31,0.1,0.21,0.31
22Month,0,0.14,0,0.41,0,0.27,0,0,0,0,0
