stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,2,10,0,0,1,0,0,0,1,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,0,0,1.97,0,0,0,0,0.28,0.28,0.28,0,1.13,0,0,0.85,0,0,0
21Day,1.48,0,1.11,2.96,0,0,0,0,0,0.37,0,0,0.37,0.37,1.11,0.74,5.55,0,0,0.74,0,0,0.37,0,0,1.11,0,0,0.37,0,0,0
3Month,0,0,0.62,3.64,0,0.1,0.1,0.31,0,19.24,0.42,0,2.7,0.31,1.77,1.98,2.81,0.73,0,0,0.21,0.1,0.21,0.21,0,0,0.73,2.5,0.1,0,0.73,0.42
22Month,0,0.27,0.27,1.09,0,0.14,0.27,0.41,0.27,25.28,0.55,0.14,1.64,0,0.27,2.87,1.64,0,0.14,0,0,0.14,0,0.55,0.14,0,0.14,0.41,0,0,0,0.14
