stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.85,0.28,0,0,0.28,0.28,1.69,0.28,2.25,1.13,0,0.28,0.28
21Day,0,0.37,0.37,0,0,0,0.74,0,3.7,0,0,0,0.37
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0,0
