stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,3.66,0.56,0,0.28,0,0.28,0,0,0,0
21Day,0,2.22,0.37,0.74,0.37,0,0.37,0,0,0,0.74,0,2.22,0,0.37,0,0.74,0.74,0.37,0.37,0,0,0.37,0,0,0.74
3Month,0,0.52,0,0,0,0,0,0.31,0,0.31,0.1,0.52,0.1,0,0,0.1,0,0,0,0,0.62,0,0,0.1,0.21,0.21
22Month,0.14,0.41,0,0,0,0.14,0.96,2.46,0.14,2.05,0.14,0.41,0,0.14,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0
