stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,2.59,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,1.77,1.14,0,0,0,0.52,0.42,0,1.98,9.05,0,33.18,0.21,0.21,0.31,0.42,0,0.21,0.31,0,0.1,0.1,0.1,0,0,0.42,2.6,0,0,0.21,1.56,0.21
22Month,0.14,2.87,1.91,10.8,0.14,0,0.27,1.64,10.8,336.43,72.15,15.3,0.68,25.96,0.41,1.23,4.24,6.42,2.32,1.91,0.41,0.82,0.27,0.82,0.14,0.68,0.14,0,0.27,1.23,1.64,0.27,0,1.64
