stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
72hpf,0,0.28,0,0,0,0,0.28,0,0,0,1.69,0,0,0,0.28
21Day,0,0,0,0,0,0,0,0,0.37,0,2.22,1.11,0,0,0
3Month,0,0,0.31,0,0.31,0.1,0,0.1,0.1,0,0,0,0.1,0.21,0
22Month,0.14,0,0.14,0.41,1.09,0,0,0.27,0,0.14,0.14,0,0,0,0
