stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0.85,0,0,0,1.41,0.56,0,0.85,0,0,0,0
21Day,0.74,0,3.7,0.37,0.37,0,0,0,0,0,2.22,0,0.37,0,1.11,0,0,0,1.85,0.74,0,0.74,0.37,0,0,0.37
3Month,0,0.1,8.84,0,0,0.21,0.21,0,1.77,0.42,0.31,0.31,0.73,0.1,0.21,0.1,0.1,0.1,0.1,0,0,0,0.52,0.1,0.1,0.21
22Month,0,0.14,1.37,0,0,0,0,0.14,2.05,0.27,0.27,0,0,0.14,0.96,0,0,0,0,0,0.14,0,0.14,0,0,0
