stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.97,0,0.28,0,10.71,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0.37,6.29,0.37,0,0
3Month,0.21,0,0.1,0,0.21,0,0,0.1,0,0,0.21,0,0.83,0.31
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0.27,0,0.82,0
