stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0.85,1.69,1.69,0,0,0,0,1.13,2.25,0,1.13,0,0,0.56,0,0.28,0,0,0
21Day,1.85,0.37,7.4,0,0.37,0,0,0,0.74,0,0,0,3.7,0,0,2.22,5.55,1.48,0,0,1.11,0,1.85,0.74,0,0.74,0.74,0,0,0.37,0,0,0,5.55
3Month,0,0.31,4.16,0,0,0,0.1,0.31,3.02,0,2.39,4.68,0.52,0.73,0.1,1.04,4.47,1.04,0.21,0,0.21,0.52,0.21,0,0.42,0,0.1,1.98,0,0,0,0.42,1.46,5.2
22Month,0.14,0.68,2.32,0,0,0.14,0,0.68,5.47,0.27,9.29,1.64,1.09,0.96,0,0.41,4.24,0.82,0.14,0.27,0.14,0.14,0,0,0.55,0,0,0.55,0.14,0,0,0,0,1.64
