stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.28,1.97,0,0,0,0,0,4.79,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0.37,8.14,0.37,0,0.37,0.37,0,0,0,0,0.37,0,0,1.85,0,0.37,0,0.37,0,1.11,0.37,0.37,0,0,0,0.74,0,0,0,0
3Month,0.21,0.31,0.21,6.45,0,0.1,0,0.21,0.21,0,3.95,0.52,0.1,1.66,0.62,9.15,0.73,1.04,0,0.1,0.62,0,0.31,0.1,0.1,0.83,0,0,0,0.31,0.21,0.31
22Month,0,0.14,0.14,2.32,0,0,0,0.41,0.41,0.82,11.89,0,0,2.87,0,0.82,0.27,0,1.37,0,0,0,0.27,0,0,0.27,0.27,0,0,0,0,0.27
