stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,8.74,0,0,0
21Day,0.37,0,0.37,0,0,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0.37,4.44,0,0,0
3Month,0,0,0,0.21,0,0,0,0.1,1.04,0,0.42,0,0.1,0.1,0,0,0.1,0.62,0.31,0.21,3.54,0
22Month,0,0.14,0,0,0,0,0.14,0.55,2.32,0,0.14,0.41,0.55,0,0,0.14,0,0.55,0,0,0,0.14
