stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.41,0.56,1.13,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,2.22,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92
3Month,0.1,0.31,2.39,0.31,0,0.31,1.04,4.16,0.1,0.83,0,0.62,0.73,0.94,0.21,0.21,0.1,0,0.1,0.1,0.21,0.21,0.1,0.52,0,0.21,58.87
22Month,0,0.41,0.41,0.27,0.14,0.55,2.32,0.41,0.14,0.14,0.14,0.14,0.55,0.27,0,0,0,0,0,0,0,0.14,0,0.27,0.14,0,24.19
