stage,Cardiomyocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0
72hpf,0.28,0,10.99,1.13,0,0,0,0
21Day,0.74,0,4.07,0.74,0,0.37,0.37,0.37
3Month,0,0.31,0,0,0.1,0,0,0
