stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,12,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0
72hpf,2.25,0,0.56,0.28,0,0,0,0,0,0,0.85,3.95,0.28,0,0,0.28
21Day,5.18,0,0.37,0,0,0,0,0,0,0.74,0.37,2.22,0,0,0.37,1.85
3Month,0,0.1,0.83,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.21,0.21
22Month,0,0,0.27,0,0,0.14,0.14,0,0,0.14,0,0,0,0,3.01,0
