stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0.28,0.28,0,0,6.2,0.56,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0.74,0,0,0.37,1.11,0.37,0.37,6.66,0,0,13.69,78.44,0.37,0,0
3Month,0,0,0.31,0,0.1,0.42,1.66,0,0,0.1,0.21,0.62,0,0,0,0.21,1.14,0,0,0,7.28,1.87
22Month,0,0.14,0,0,0.14,0.14,0.27,0,0.14,0,0,0.82,0,0,0.14,0,0,0,0,0,0,0.14
