stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.85,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0.74,0,0.37,0,0,0
3Month,0.21,0.1,0.42,0,0,0.1,0.73,0,0,0.52,0.42,0.1
22Month,0,0,0,0.14,0,0,0.14,0,0,0.27,0,0
