stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0.56,0,0,0,0,0,0,0,0,0,0,1.41,1.41,0,0,0,0.28,0,0,6.76,5.64,0.28,0,0,0.28,0.28,0.28,0,0,0,0
21Day,1.11,0,0.37,4.44,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,1.11,0,0.37,0,0,0.74,0,1.11,0.37,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.31,1.25,36.72,0.42,0,0.31,0,4.58,0.83,0,0,46.39,1.04,0,12.69,1.87,11.75,2.7,2.08,0.52,0,3.02,0.42,2.7,0.1,2.5,0,0,0,2.6,11.44,0,0.31,3.74,0.73
22Month,0,0.14,0.96,1.78,0,0,0,0,0.96,0.55,4.24,0,35.39,0.27,0.14,11.34,0,0.82,1.23,0.27,0,2.32,0.14,0,0.27,0,0.82,0.14,0.14,0.14,0,1.09,0.14,0,0,0
