stage,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,1.97,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,7.61,0.85,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0.37,0.74,0,0,0,0,0,0,0,2.22,0.37,0,1.85,0,0,0,4.81,0.74,0,0,1.48,0,0,0.74,0,0,0
3Month,0.52,1.04,0,0.62,0.31,0.42,0.83,0.21,0.1,17.37,1.04,0.1,0.52,1.25,1.04,0,0.1,0.21,0.21,0.31,4.47,0,0.21,1.14,0,0.1,0.52,0.31
22Month,2.6,0.55,0,0.14,0,0.41,4.24,0.27,0,11.89,0.14,0.14,0.55,1.5,0,0,0,0.27,0,0.27,0.68,0,0,3.96,0,0,0,0.27
