stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,1.13,0,11.84,0,0.85,0,0.56,1.13,0,0
21Day,0,0.37,0,0.74,0,0,0.37,0,0,0,0,0.37,2.22,0,5.55,1.11,0.74,0,0,0,0,0
3Month,0,0.42,0,0,0,0,0.52,0.1,0,0.21,0,0.1,0,0,0,0,0,0.21,0,0,0.1,0
22Month,0.14,0.14,0,0,0.14,0.14,2.19,0,0.27,0.68,0,0,0.14,0.14,0,0,0,0,0,0,0.14,0.14
