stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,2,28,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.13,0,0,0.28,0,0,0,0.28,0,0,0.56,0.28,1.41,0,1.41,8.74,0,0.28,0.56,0,0,0,0,0,0,0
21Day,1.11,0,0.37,4.81,0,6.66,4.07,0,0.37,0,4.07,0,0.37,0,0.74,5.55,0,1.48,5.92,0,0,0.74,1.48,0,1.11,0.37,0.37,0,0.37
3Month,0,0,0.1,0.52,0.1,0,0,0.21,1.04,0.1,0,0.31,0,0.21,0.21,0.21,0.21,0,0,0,0,0,0,2.18,0,0,0.1,6.55,0.31
22Month,0,0,0,0.55,0,0,0,0.55,0.96,0.14,0.41,0.27,0,0,0.55,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0,0.27
