stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.48,0,0,0,0,0
3Month,0.21,0.21,0.21,2.39,0.52,0.94,0,5.51,0.94,0.21,1.35,0.31,0.52,0.73,0.62,0.21,0,0.31,0.52,0.21,0,0,0.1,1.35,101.1,0,0,0.83,14.56,0.94
22Month,0.27,0,0.14,0.68,0,0.27,0.14,3.55,0.27,0.14,0.82,0,0,0.14,0.68,0,0.14,0.14,0.14,0,0.14,12.16,0,0.14,25.42,0.14,0.14,0.14,0,0.14
