stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.42,0,0.1,0.62,0.1,0.21,0.1,0.31,0.1,0.1,0,0.1,0.1,0.1,0.42,2.29
22Month,0.27,0,0,0.96,0,0,0.14,0,0.14,0.41,0.14,0.27,0,0,0,0
