stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,94,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0,31,7.33,0.28,0,0.56,0,0.28,0.56,0.28,0,0
21Day,0.74,0,0.37,0,0.74,0,0,0.37,0.37,0,0,0,1.11,0,0.37,0,27.01,3.33,0,0.37,0,0.37,0.74,0.37,0.74,0,0.37
3Month,0,0.31,0.52,0,0,0.21,1.14,0,0.1,0.1,0,0.1,0.42,0.1,0,0.1,0.31,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1
22Month,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
