stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.97,0,0,0,0,0.56,0,0,0,0.56,0,0,1.13,0,6.76,0,0,0.28,2.25,0.85,0,0,4.51,0.28,0,0.28,0,0,0.28,0,0,0
21Day,2.22,0.37,0,2.96,0,0.37,0.37,0,1.85,0,0.37,0,4.44,0,0,0.74,0.74,25.16,0.37,1.85,0,2.59,0.74,0.37,0,6.66,1.48,0,0,0,1.11,0.74,0,0,7.4
3Month,0.1,1.35,0.1,2.91,0.1,0,0,0,2.29,0.1,8.95,0.31,0.31,0.21,0.1,1.35,0.42,25.59,5.93,0.62,0.21,0.31,0.1,0.21,0.1,0.21,0.31,1.25,0,0,0,0,0.52,0.94,4.26
22Month,0,2.05,0,1.78,0,0,0,0.14,1.78,0.68,12.03,0,0.14,0.55,0,0.27,0.55,19.81,0.55,0.41,0,0,0.27,0.55,0.27,0.14,0,0.14,0,0.27,0,0,0,0,6.29
