stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,10,0,0,0
72hpf,0.28,0,0,0,0.28,1.41,0,0,0,0,0.28,0,0,0.85,0.56,1.69,0,1.97,0,0,0,20.01,7.33,0,0,0,0.56,0,0,1.13,2.82,0.85,69.9,0,0,0
21Day,7.4,2.22,1.11,18.13,0.74,17.76,2.96,0,1.11,0,2.96,0.74,7.03,3.33,4.81,15.91,5.18,27.01,0.37,1.48,0,48.1,14.06,0.37,1.11,0,9.62,7.77,0.74,0.37,5.92,4.07,119.51,0.74,0,1.48
3Month,0,0.62,0.21,5.82,0,0,0,0.1,0.31,0,3.74,0.31,0.1,0.83,0.73,0.31,0.21,0.31,0,0,0,0.73,0.1,0,0,0,0,0.1,1.04,0,0.62,0.1,3.85,0.31,0.73,0.31
22Month,0,0.82,0,1.37,0,0,0,0.14,0.68,0.27,10.93,0.41,0,0.68,0.27,0,0.14,0.96,0,0,0.14,0.55,0,0.41,0.14,0.14,0,0,0.68,0.41,0.41,0,6.15,0,0,0
