stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0.28,0,0.85,1.13,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0
3Month,0,0,0.83,0,0.21,0.52,0,0.1,0.21,0,0.31,0.1,0,0,0.1,0.1,0.1,0,0.73
22Month,0,0.14,0.14,0,0.27,3.14,0.14,0.82,0.14,0.14,0.41,0,0,0.14,0,0,0,0.14,0
