stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.56,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.1,0,0.21,0,0.21,0.1,0.42,0.21,0,0,0,0,0.1,0.52,0,0.1,0.52
22Month,0,0,0,0,0,0.14,0.27,0,0.14,0,0,0.14,0,0,0,0.14,0.14,0,0
