stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0.28,0.56,0.28,0,0,0
21Day,0.37,0.37,0,0,0.74,0.74,0,0,0,1.11,0,0,0,0.37,0,0,0
3Month,0,0.21,0.1,0,0.1,0,0,0.1,0.21,0.1,0.1,0.1,0,0,0.31,0.1,0.1
22Month,0,0,0,0.27,0.96,0,0.14,0,0,0.27,0,0,0,0,0.41,0,0
