stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,1.69,0.28,0,0
21Day,1.11,0.37,0,0,0,0,0,0.37,0,0.74,0,0,0
3Month,0.1,0,0,0.31,0,0.1,0.1,0.21,0,0,0,0.21,0.1
22Month,0.14,0,0.14,0.41,0.14,0,0,0.14,0.14,0,0,0,0.14
