stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0.37,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0.83,0.31,0.1,0.62,0,0,0,0.1,0.1,0.21,0.1,0.21,1.56,0
22Month,0.14,0.27,0.14,0,1.09,0,0,0.27,0,0,0,0,0,0,0.14
