stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Keratinocyte,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0.85,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0.74,0,0,0.37,0.37,0
3Month,0.1,0.1,0,0,0.73,0,0,0,0,0,0.31
22Month,0,0.14,0,0.27,2.46,0,0.27,0,0,0,0
