stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,1,0,0,0,0,28,1,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0.56,0,0,0.28,5.92,7.61,0,0.85,0.28,0.28,0
21Day,0,0.37,0,0.37,0.37,0.74,0,0,0.74,1.11,0,3.33,4.44,0.74,0,0,0,0
3Month,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1
