stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,4.23,1.69,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,1.11,1.48,18.5,1.11,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0.1,0.52,0,0.1,0,1.56,0.1,0,0.31,0.1,0.31,0.1,0.1,0.31,0,0.1,0,0.31,0.31,0,0.1,0.1,0.21
22Month,0.14,0.14,0,0.14,0,0.14,4.92,0.14,0,0.27,0.14,0,0.27,0,0.14,0,0,0,0,0.14,0,0,0,0
