stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0.28,0,0,0,1.41,0.28,0.28,0,0.28,0,0,0
21Day,0,0,0.74,0.37,0,0,0.37,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0
3Month,0.1,0,0,0,0.1,0,3.33,0,0,0,0.1,0.1,0,0.1,0,0.21,0,0,0,0,0,0.31,0,0
22Month,0.27,0.14,0,0,0,0.14,8.2,0.14,0,1.09,0,0,0.14,0,0.14,0,0.14,0,0.27,0.14,0,0.27,0,0.14
