stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,2,0,45,1,0,0,0,0,0,0,0,0,0,0,1,9,2,55,0,0,1,1,455,0,0,8,0,0,1,0,5,0,0,0
72hpf,0.85,0,0,14.66,1.97,0.85,0,0.28,0,0,0,0,0,0,0,10.15,16.63,0.28,25.65,0,0.56,0,10.43,60.6,0,0.28,8.17,0,0.28,20.86,0,2.25,0,0,0
21Day,1.85,0,0.74,39.59,0.74,1.11,0,0,0.37,0,0.37,0,0,0,1.11,0,7.77,1.85,17.76,0,0.74,0,6.29,22.57,0.74,1.85,6.29,2.22,0.74,7.77,0.37,0,0,0,0
3Month,0.52,0.1,1.87,41.81,0.31,0,0.21,0.1,3.74,1.25,0.42,3.43,0.73,0.1,24.96,4.68,16.64,3.02,9.67,0.21,1.66,6.97,0.83,2.5,1.14,2.81,0.21,0.94,12.69,2.81,0,0.73,1.66,0.52,1.04
22Month,0.14,0,1.78,3.96,0.14,0,0.14,0,0.41,0.55,1.23,3.55,0.14,0,15.03,0,0.82,0.68,1.78,0,0.55,0.14,0,0.55,0.96,4.24,0,0,4.51,3.14,0.14,0.14,0.14,0,0.27
