stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.79,1.69,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.41,0.56,0,20.29,0.28,0,0.28,0.28,0,0,0.28,0,0,0
21Day,0.37,0.37,0.37,11.84,0.74,0,0,0.37,0,0.37,0,0.74,0,0,0.37,0.37,24.05,0.37,0,7.4,0.37,0,0,0.74,0,0,0,0.37,0,0
3Month,0,0,0.62,0.83,0,0,0,0.1,0.1,0.52,0.21,0,0.21,0.1,0.1,0.21,4.16,0.21,0.1,1.04,0,0.1,0,0,0.1,1.98,0,0,0.21,0.1
22Month,0,0,0,0.96,0,0.14,0.14,0.14,0,0.27,0,0,0,0.14,0,0,0.27,0,0,0.27,0,0,0,0,0,0,0,0,0,0
