stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,3,1,4,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.28,0,1.41,3.95,0,0,0,0,0,0,0,0.56,0,1.41,4.79,0.28,1.13,0,0,0,0,6.2,2.82,0.28,0,0,1.97,0,0,0.28,0,0,0,0,0,0
21Day,2.22,0.37,0.37,6.29,1.48,1.11,0,0,0,0,2.22,0,1.85,1.48,0.74,3.33,3.7,6.29,0,0,0,0,4.81,1.85,0,0.37,0,3.33,0,5.55,0.37,0.37,0.37,0,0,0.37,1.11
3Month,0,0.52,0.31,4.68,0,0.1,1.35,1.87,0,0,10.19,1.56,0.21,4.89,0.94,0.62,1.14,1.04,0.31,0.1,0.42,0.73,0.52,0.1,0.73,0.31,0,0.21,0.94,81.86,0.31,0,0,0,1.25,53.46,1.66
22Month,0,0.55,0.27,1.23,0,0.14,0.14,1.37,0.68,0,51.38,0.41,0.27,8.88,0,0.14,1.23,2.19,0,2.05,0.96,0,0.27,0,0.14,0.41,0.27,0,0.27,9.02,0.14,0.14,0,0.14,0,0.41,0.96
