stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0.74,0.74,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.31,0.1,0.1,0,0.1,0.1,0.42,0,0.31,0.1,0.1,0,0.1,0.1,0.21,13.11,0.1,0.94,0.21
22Month,0.14,0.96,0,0.14,0.14,1.78,0,0.82,0,0.27,0.14,0,0,0,0,0,0,0,0,0
