stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
72hpf,0.28,0.28,1.69,0.28,0,0,0,0,0,0.28,0.56,2.54,0,0,0.28,1.13,1.41,0,0.85,0,0
21Day,0,1.48,3.7,0.37,0,0,0,0,0,0,1.11,2.96,0,0.74,0,0,0.74,0.37,0,0.37,0
3Month,0,0.21,0.21,0,0,0.1,0.21,0.21,0,0,0.21,0.42,0.1,0,0,0.21,0,0.1,0,0.42,0
22Month,0,0.14,0.14,0,0.14,0,1.23,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0,0.14
