stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,0.37,0.74,0,0,0,2.22,0,0.37,0.74,0.37,0.37,0,0.37,1.85
3Month,0.1,0,0.21,0.31,0.1,0,0.1,0.52,0,0,0,1.04,0,0.31
22Month,0,0,0,0.55,0,0,0.14,0,0,0,0,0.68,0,0
