stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0.37,0,0,1.48,0,0.37,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0,0.62,0,0,0,0.94,0.1,0.1,0.62,0.31,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.42,0.1,0.21
22Month,0.14,0.14,0.96,0.14,0.55,0.14,2.6,0.27,0.27,0.96,0.14,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0.14
