stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
21Day,0.37,0.37,0.74,0,0.37,0,0,6.29,0,0,1.11,0.37,0,0.37,0.37,0.37,0,0.37,0.37,3.33
3Month,0.62,0,0.21,0.1,0.52,0.62,0.42,1.46,0.1,0.21,1.25,0.31,0.1,0,0,0.1,0.31,0,0,8.32
22Month,0,0,0,0,0.14,1.09,0.14,0.27,0.14,0,0.14,0.41,0,0,0,0.27,0,0,0,3.14
