stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0.28,16.07,0,0,32.98,9.3,5.07,0,0,2.25,0,0,0.85,0.56,0,0.28,0,0,0
21Day,0.74,0,0,1.11,0.74,1.48,0,0,0,0,0,0,0,0,0,1.11,0.37,9.62,0,0,119.51,4.07,2.22,0,0,0,1.85,0,0.74,0,0.37,0,0,0,0
3Month,0,0.21,0,0.83,0,0,0,0.1,0.83,0.1,2.7,0.21,0,0.21,0,0.62,0.42,11.13,1.77,0,7.18,0.21,0,0.1,0,0.31,0.42,0.73,0,0,0,0,0.31,0.1,0
22Month,0,0.27,0.14,0.82,0.14,0,0.14,0.14,1.09,0.55,15.44,0.55,0.14,2.32,0.14,0,0.41,8.61,0.82,0.41,4.92,0.41,0,0,0.14,0.41,0,0.68,0.14,0,0,0,0.14,0,0.55
