stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0.28,0,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0,1.41,0,0,0,0.28,6.48,1.97,0,0,3.38,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.22,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0.37,0.37,1.48,4.44,0,0,0.37,0.37,1.48,1.85,0,0,1.85,0.74,0,0.37,0,0,0,0.37
3Month,0,0.1,0.21,5.62,0,0.21,0.1,0.1,0.1,1.46,0.1,3.54,1.46,0.42,2.7,0.73,1.56,1.46,2.39,0.1,0,0.42,0.83,0.21,0.1,0.1,0.31,0.31,0.21,2.7,0.31,0,0.62,0.31,2.81
22Month,0,0.41,0.14,1.37,0,0,0,0,0.27,1.23,0.14,10.11,0.14,0.82,2.19,0.14,1.09,1.5,0.82,0,0.41,0.27,0,0.14,0.14,0.14,0.14,0,0,1.09,0.55,0,0,0,0.68
