stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,0,29.88,5.36,0,1.13,0,0,4.79,0,0.85,0,0
21Day,0,0,0,0.37,2.59,0,0.37,0,0,0,0,0.37,0.37,0,0.37,0,4.44,0,0,0.37,0,29.6,1.48,0,0,1.48,0,1.85,2.22,0.37,0,0
3Month,0,0,0,0.42,0,0.1,0,0.1,0,2.29,0.73,0,0.83,0,1.14,0.31,0.31,0,0,0.1,0,0,0,0,0,0.21,0.42,0.1,0,0,0.21,0.31
22Month,0,0.27,0.27,0.82,0,0.14,0,0.68,0.41,18.58,1.78,0,2.6,0,0.41,0.41,1.23,0.14,0.41,0.41,0.14,0.27,0,0.14,0,0,0.14,0.27,0,0,0,0
