stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,5,0,6,0,0,0,1,38,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0,4.51,0.28,0.28,0,0,0,0,0,0,0,0.56,0,0.85,6.76,0,4.23,0.28,0.56,0,7.05,5.64,0,0.28,0,1.97,0.28,0,1.69,0.56,0.56,0.28,0,0,0
21Day,1.11,0,0,12.58,0.37,2.22,1.48,0.74,0,0,0,1.11,0,2.22,0,0.37,2.96,0.74,8.14,0,2.22,0,5.55,2.22,0.37,0,0,1.11,0.37,0.37,0.37,0.37,1.48,0,0,0,1.48
3Month,0,1.14,0,11.23,0,0,0.21,1.14,3.64,0,0,2.18,0.83,0.21,3.02,1.04,5.1,1.56,2.08,0,2.7,0.73,0,0.1,0.42,0,0,0.21,0,6.76,0,0,0,0,0.31,0.62,2.29
22Month,0,0.55,0.68,4.78,0,0,0.27,0.55,7.79,0.14,0,6.42,1.5,0.68,2.87,0.27,1.23,3.01,1.91,0.14,1.64,0,0.27,0.14,0.27,0.14,0.14,0,0.14,0.82,0,0,0,0.14,0,0,1.23
