stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,3,0,9,0,0,0,0,0,0,0,1,0,0,0,0,3,4,162,0,0,0,22,428,0,0,0,38,0,0,0,0,0,0,0,0,0
72hpf,10.43,2.82,0,5.64,4.51,0,0,0,0,0,0,0,0,1.41,0,3.95,10.71,1.97,296.79,0,0.85,3.95,45.66,72.15,0,0,0,173.62,0.28,0.28,26.78,0.56,0,3.66,0,0,0
21Day,18.13,0.37,1.11,18.5,6.66,0,4.81,0,0,0.37,0,0.74,0,2.96,2.22,0.37,7.4,4.44,313.01,0,0,17.02,24.05,51.06,0,1.85,0,95.09,7.4,1.48,17.76,1.85,1.85,5.18,0.74,0.37,1.48
3Month,0.21,1.77,0.21,6.24,0,0.42,0,0.62,1.04,5.41,0.31,5.82,1.04,0,1.56,0.21,5.51,3.95,102.46,42.02,0.1,4.16,0.31,0.52,0.73,0.21,0,1.25,0.94,47.95,1.04,0,0,0.42,5.93,6.45,1.04
22Month,0.14,1.5,0.41,2.87,0,0.27,0.55,0.27,0.96,2.46,1.5,14.48,0.41,2.05,5.06,0.14,0.82,6.97,105.22,3.42,0.55,2.19,0.14,0.27,0.27,0.41,0.41,0.41,0.14,12.57,5.06,0.14,0,0.27,0.27,0,0.55
