stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0,0,29.59,0.56,0,0.28,0.56,0,0,0.28,0,0.56,0
21Day,0.74,0,0,2.96,0.37,0,0,0,0,0,0.37,0,0,15.91,1.11,0,1.11,0.74,0.37,0,0.37,0.37,0,0.37
3Month,0,0.1,0.1,0.42,0,0,0,0.52,0,0,0.1,0.21,0.1,0.52,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0.14,0,0.27,0,0.14,0.14,0.82,0,0.14,0,0,0,2.6,0,0.14,0,0,0,0,0,0,0,0
